iteration;temperature;cost;result
68;5480.2800000000025;6395.776625171778;["Lille" "Paris" "Toulouse" "Caen" "Ajaccio" "Besançon" "Strasbourg" "Rennes" "Lyon" "Limoges" "Bordeaux" "Marseille" "Lille"]
69;5479.9900000000025;6114.931677997114;["Lille" "Ajaccio" "Toulouse" "Caen" "Paris" "Besançon" "Strasbourg" "Rennes" "Lyon" "Limoges" "Bordeaux" "Marseille" "Lille"]
70;5479.700000000003;6198.6441728994605;["Lille" "Ajaccio" "Toulouse" "Caen" "Paris" "Besançon" "Strasbourg" "Rennes" "Lyon" "Bordeaux" "Limoges" "Marseille" "Lille"]
71;5479.410000000003;6198.6441728994605;["Lille" "Ajaccio" "Toulouse" "Caen" "Paris" "Besançon" "Strasbourg" "Rennes" "Lyon" "Bordeaux" "Limoges" "Marseille" "Lille"]
72;5479.120000000003;6410.73189347651;["Lille" "Ajaccio" "Toulouse" "Caen" "Paris" "Besançon" "Rennes" "Strasbourg" "Lyon" "Bordeaux" "Limoges" "Marseille" "Lille"]
73;5478.830000000003;6410.73189347651;["Lille" "Ajaccio" "Toulouse" "Caen" "Paris" "Besançon" "Rennes" "Strasbourg" "Lyon" "Bordeaux" "Limoges" "Marseille" "Lille"]
74;5478.540000000003;6882.267251528577;["Lille" "Ajaccio" "Toulouse" "Caen" "Paris" "Besançon" "Rennes" "Strasbourg" "Bordeaux" "Lyon" "Limoges" "Marseille" "Lille"]
75;5478.250000000003;7219.029478076535;["Lille" "Ajaccio" "Toulouse" "Caen" "Lyon" "Besançon" "Rennes" "Strasbourg" "Bordeaux" "Paris" "Limoges" "Marseille" "Lille"]
76;5477.960000000003;7131.387703709065;["Lille" "Ajaccio" "Toulouse" "Caen" "Lyon" "Besançon" "Rennes" "Strasbourg" "Bordeaux" "Limoges" "Paris" "Marseille" "Lille"]
77;5477.670000000003;7104.6595945824365;["Lille" "Ajaccio" "Toulouse" "Paris" "Lyon" "Besançon" "Rennes" "Strasbourg" "Bordeaux" "Limoges" "Caen" "Marseille" "Lille"]
